Scenario,Process,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055
Reference Case,NEWBIO,5.213729858,5.213729858,5.213729858,5.213729858,5.213729858,5.213729858,5.213729858,6029.370653,6473.013827,6472.660309
Reference Case,NEWGEO,114.6077907,114.6077907,114.6077907,114.6077907,114.6077907,114.6077907,1125.532197,5501.466023,10202.46922,10202.46922
Reference Case,NEWSOL,12.61649326,12.61649326,12.61649326,12.61649326,12.61649326,12.61649326,12.61649326,3797.564472,7572.419255,11354.84393
Reference Case,NEWWIND,642.2047957,642.2047957,642.2047957,642.2047957,642.2047957,642.2047957,4428.566423,8158.409928,10879.03979,13920.0026
